row_number,original_prompt,ai_analysis_method,detected_entities,detected_actions,character_count,complexity_score,complexity_rate,processing_timestamp,processing_status
1,"As a site visitor, I want to post comments about articles, so that others can read them.",Hugging Face Transformers,Comments,"start, process, end",88,4,0.89,2025-09-14 10:50:37,success
2,"As a Website user, I want to access published FABS files so that I can see the new files as they come in.",Hugging Face Transformers,"FABS, Website","start, process, end",105,5,1.07,2025-09-14 10:50:42,success
3,"As an Older Person, I want to be able to see my training Performance.",Hugging Face Transformers,"Performance, Older, Person","start, process, end",69,6,1.41,2025-09-14 10:50:57,success
4,"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version.",Hugging Face Transformers,"Data, Version, System, NeuroHub","start, process, end",107,7,1.5,2025-09-14 10:51:01,success
5,"As a depositor, I want to see what kinds of things the repository accepts and what formats are accepted and recommended.",Hugging Face Transformers,"User, System","start, process, end",120,5,1.04,2025-09-14 10:51:01,success
6,"As a Consumer, I want to see a publisher's profile, so that I can discover their packages and get a sense of how active and good they are.",Hugging Face Transformers,Consumer,"start, process, end",138,4,0.81,2025-09-14 10:51:02,success
7,"As a anonymous user, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.",Hugging Face Transformers,Location,register,239,3,0.55,2025-09-14 10:51:03,success
8,"As a system administrator, I want to run a script that installs the Neurohub node onto a virgin Ubuntu operating system.",Hugging Face Transformers,"Ubuntu, Neurohub, System",run,120,4,0.83,2025-09-14 10:51:03,success
9,"As a user, I want to be sure that existing metadata corresponding to the file is not lost when moving a file to a new location.",Hugging Face Transformers,"Metadata, Location","start, process, end",127,6,1.24,2025-09-14 10:51:03,success
10,"As a team member, I want to have a prioritized list of features and elements of a future social element page, so that I can work with the engineers to determine feasibility.",Hugging Face Transformers,"Element, Elements","start, process, end",173,5,0.97,2025-09-14 10:51:04,success
11,"As a member, I want to have the system email me a new password or a password reminder since I have short-term memory problems.",Hugging Face Transformers,System,"start, process, end",126,4,0.83,2025-09-14 10:51:04,success
12,"As a CMS administrator, I want to have roles so that I can assign them to my users.",Hugging Face Transformers,CMS,"start, process, end",83,4,0.9,2025-09-14 10:51:04,success
13,"As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.",Hugging Face Transformers,"Questions, Section, FAQ","start, process, end",105,6,1.29,2025-09-14 10:51:05,success
14,"As an NSF person interested in attending user interviews, I want to know when they are scheduled and the type of user that will be interviewed.",Hugging Face Transformers,NSF,"start, process, end",143,5,1.01,2025-09-14 10:51:05,success
15,"As a Researcher Government Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.",Hugging Face Transformers,"Government, Dataset, Researcher, Publisher","start, process, end",158,7,1.38,2025-09-14 10:51:05,success
16,"As an external user, I want to easily find and access research and educational materials from Cornell faculty related to a particular topic, which I can use to develop stronger research/evidence based programming, grant proposals, community policy, or business practices.",Hugging Face Transformers,"Educational, Business, Based, Cornell","start, process, end",271,7,1.25,2025-09-14 10:51:06,success
17,"As an academic researcher, I want to find the works of a particular author in one easily sortable spot, so that I can see the evolution of their scholarship over time.",Hugging Face Transformers,"Evolution, Scholarship","start, process, end",167,5,0.98,2025-09-14 10:51:06,success
18,"As a user, I want to make uploaded data files to be non-modifiable.",Hugging Face Transformers,Data,make,67,3,0.71,2025-09-14 10:51:06,success
19,"As the site editor, I want to add an article to the site, so that the site has plenty of content.",Hugging Face Transformers,"User, System","start, process, end",97,5,1.09,2025-09-14 10:51:07,success
20,"As a faculty member, I want to add a date delimiter to a search string, so that I can limit a search to return only results from before, after, or between a given date or dates.",Hugging Face Transformers,"User, System","start, process, end",177,5,0.96,2025-09-14 10:51:07,success
21,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.",Hugging Face Transformers,"User, System",select,211,4,0.75,2025-09-14 10:51:07,success
22,"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects.",Hugging Face Transformers,"Archivist, Accessions, Extents, Dates, Resources","start, process, end",151,9,1.79,2025-09-14 10:51:08,success
23,"As a site editor, I want to be able to designate whether or not an event makes the home page, so that the best content is featured most prominently.",Hugging Face Transformers,"User, System","start, process, end",148,5,1.0,2025-09-14 10:51:08,success
24,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements wanted.",Hugging Face Transformers,"Improvements, Owner, SME",design,121,4,0.83,2025-09-14 10:51:08,success
25,"As a data manager, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.",Hugging Face Transformers,"Manager, Data","start, process, end",186,5,0.96,2025-09-14 10:51:09,success
26,"As a faculty member, I want to go to my repository dashboard to manage members of my classes, grant submit permissions by pasting in a list of NetIDs, see confirmation that DDR recognizes the NetIDs, ability to manually remove permissions, ability to set begin and end dates for a submission window, and a have a status screen to clearly illustrate who has and hasn't submitted.",Hugging Face Transformers,"Submission, NetIDs, DDR, Confirmation, Permissions","manage, submit",378,8,1.35,2025-09-14 10:51:09,success
27,"As an Archivist, I don't want to inadvertently overwrite someone else's changes to a record that I'm editing.",Hugging Face Transformers,Archivist,"start, process, end",109,4,0.85,2025-09-14 10:51:10,success
28,"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on the item on that date.",Hugging Face Transformers,"Configuration, DigitalRecords, Archivist","start, process, end",177,7,1.35,2025-09-14 10:51:10,success
29,"As the DAMS manager, I want to be able to list for browsing all formal collections represented in the DAMS along with the appropriate relationships.",Hugging Face Transformers,"Manager, Relationships, DAMS, Collections","start, process, end",148,7,1.4,2025-09-14 10:51:10,success
